GENERIC NAME,BRAND NAME
BUPIVACAINE 0.5%+EPINEPHRINE INJ 20 ML VIAL,MARCAINE
BUPIVACAINE 0.75% INJ 20 ML VIAL,MARCAINE
BUPIVACAINE 0.75%+DEXTROSE 8.25% SPINAL INJ 2 ML AMP,MARCAINE SPINAL
BUPIVACAINE POWDER 25 GM BTL,BUPIVACAINE POWDER
BUPROPION SR 100 MG TAB,WELLBUTRIN SR
BUPROPION SR 150 MG TAB,WELLBUTRIN SR
BUPROPION SR 150 MG XL TAB,WELLBUTRIN XL
BUPROPION SR 300 MG XL TAB,WELLBUTRIN XL
BUSERELIN DEPOT INJ 2 MONTHS 6.3 MG/IMPLANT,SUPREFACT DEPOT
BUSERELIN DEPOT INJ 3 MONTHS 9.45 MG/IMPLANT,SUPREFACT DEPOT
BUSERELIN INJ 1 MG/ML 5.5 ML VIAL,SUPREFACT
BUSPIRONE 10 MG TAB,BUSPAR
BUSULFAN 2 MG TAB,MYLERAN
BUSULFAN INJ 6 MG/ML 10 ML VIAL,BUSULFEX
